1,0.000004,122249.388753
2,0.000002,519480.519481
4,0.000001,1980198.019802
8,0.000001,4040404.040404
16,0.000001,8695652.173913
32,0.000001,18079096.045198
64,0.000001,33160621.761658
128,0.000004,14496036.240091
256,0.000001,193939393.939395
512,0.000002,120754716.981132
1024,0.000001,664935064.935064
2048,0.000001,984615384.615388
4096,0.000011,185759637.188209
8192,0.000005,765607476.635514
16384,0.000006,1365333333.333334
32768,0.000012,1331491263.713938
65536,0.000020,1610181568.020442
131072,0.000056,1175417671.799195
